Name,Price,Rating,Distance from the centre,Free Cancellation,Prepayment needed,Breakfast included
CitiNest Residence Bui Vien Signature,"VND 5,575,500",8.7,1 km from centre,Yes,No,No
NU House - Heart of District 1 - Walk to Everything,"VND 3,511,250",None,1.4 km from centre,Yes,No,No
The L'anmien Quận 3,"VND 4,090,500",9.7,1.8 km from centre,Yes,No,No
Hung Thanh Airport Hotel - Gần Siêu Thị Vincom Cộng Hoà,"VND 6,075,000",6.7,5.4 km from centre,Yes,No,No
The Cozy Nest,"VND 5,703,706",7.4,4.9 km from centre,Yes,No,No
Rainbow Airport Hotel,"VND 3,375,297",8.3,5.4 km from centre,Yes,Yes,No
Victory House,"VND 3,006,072",8.3,1.4 km from centre,No,Yes,No
La Suite Thao Dien,"VND 11,787,847",8.7,6 km from centre,Yes,Yes,No
17c dang van ngu 103,"VND 3,207,600",None,4.1 km from centre,Yes,No,No
Liva,"VND 2,142,000",6.6,5.3 km from centre,Yes,No,No
Collection O District Tan Binh Near Airport Formerly Joy Inn,"VND 5,075,829",6.3,7.6 km from centre,Yes,Yes,No
Hanhhome,"VND 4,536,000",9.2,4.1 km from centre,Yes,No,Yes
Notre Maison 8 Saigon close Landmark 81 building,"VND 5,449,350",8.8,2.9 km from centre,Yes,No,No
Airport Apartment TS,"VND 3,665,880",None,5.6 km from centre,Yes,No,No
Japanese studio near City Center by CIRCADIAN,"VND 27,540,000",None,5.4 km from centre,Yes,No,No
California Saigon Hotel & Rooftop Pool,"VND 9,707,917",7.5,400 m from centre,Yes,Yes,Yes
StayX Luxury Apartment in District 3,"VND 4,176,000",None,1.9 km from centre,Yes,No,No
CHILL HOME 2,"VND 4,158,000",9.2,3.6 km from centre,Yes,No,No
Gemini Saigon LUXURY,"VND 6,851,425",6.9,0.6 km from centre,Yes,No,No
YOGO Saigon Hanoi,"VND 7,344,000",None,1.4 km from centre,Yes,No,No
Hato Saigon Boutique Hotel & Rooftop,"VND 11,235,000",8.3,500 m from centre,Yes,No,Yes
The Cozy Inn Hotel Ho Chi Minh,"VND 5,751,000",7.7,0.9 km from centre,Yes,Yes,No
Mecozy Apartel,"VND 9,822,409",8.2,5 km from centre,Yes,No,No
Alleyway home,"VND 2,733,222",6.0,1.3 km from centre,Yes,No,No
Nicecy Apartment - Sai Gon City,"VND 6,196,511",7.8,1.5 km from centre,Yes,No,No
"Kin Wander Tân Phong, The Moonage","VND 9,384,883",9.1,3.9 km from centre,Yes,Yes,No
Botanist Lab Minihotel by CIRCADIAN,"VND 4,685,248",8.5,2.7 km from centre,Yes,Yes,No
Ben Thanh Retreats Hotel,"VND 6,928,350",9.0,0.8 km from centre,Yes,Yes,Yes
The Hidden HogWarts - Nearly Bùi Viện Walking street,"VND 3,317,760",7.3,0.9 km from centre,Yes,No,No
The 1- Tony saigon Hotel,"VND 5,103,000",7.8,0.6 km from centre,Yes,No,Yes
Na Nue Hotel,"VND 5,258,250",7.3,0.6 km from centre,Yes,No,Yes
Wah Fu Hotel,"VND 10,462,500",7.3,3.2 km from centre,Yes,No,No
Tan Son Nhat Airport Apartment by SABAY,"VND 5,710,500",7.7,5.6 km from centre,Yes,No,No
Angie's Home,"VND 7,128,000",9.0,1.6 km from centre,Yes,No,No
Ha Long hotel,"VND 3,890,250",8.4,13.8 km from centre,Yes,No,No
Airport Apartment LS,"VND 4,534,880",None,5.6 km from centre,Yes,No,No
Hotel Grand Saigon,"VND 25,806,791",8.5,0.8 km from centre,Yes,Yes,Yes
Nicecy Hotel Suites & Spa,"VND 12,878,130",7.6,1.4 km from centre,Yes,Yes,Yes
Vinhomes Central Park Premier Apartment,"VND 10,442,880",8.1,3.6 km from centre,Yes,No,No
N3 Opera Residence,"VND 10,080,000",9.0,1.1 km from centre,Yes,No,No
S868 Hotel,"VND 3,280,390",None,8.3 km from centre,Yes,Yes,No
Athena Hotel,"VND 12,858,750",8.1,3.7 km from centre,Yes,No,Yes
AIRIE LIVING,"VND 9,376,000",8.6,1.8 km from centre,Yes,No,No
HOLO BEN THANH SAIGON Serviced HomeStay,"VND 6,348,375",7.5,400 m from centre,Yes,No,No
Green Cocoon,"VND 3,960,000",7.5,2.9 km from centre,Yes,Yes,No
Thư Thái Hotel - Lunaria Maison Group,"VND 2,890,899",7.7,2.7 km from centre,Yes,Yes,No
M Saigon Apart-The Manor 2,"VND 9,967,590",8.4,3.2 km from centre,Yes,No,No
F-Hotel & Apartment,"VND 7,306,200",9.1,3 km from centre,No,Yes,No
Loftic Apartments - Tan Dinh,"VND 4,934,412",9.1,2.4 km from centre,Yes,Yes,No
A&EM Saigon Hotel,"VND 16,063,699",8.0,400 m from centre,Yes,Yes,Yes
CityHouse - Atelier Apartment & Hotel,"VND 15,884,100",9.1,5.4 km from centre,Yes,No,No
Cherry Apartment - Thao Dien Centre,"VND 5,961,600",8.3,4.6 km from centre,Yes,Yes,No
Oscar Saigon Hotel,"VND 9,858,000",7.8,0.6 km from centre,Yes,Yes,Yes
Kadupul Hotel,"VND 5,264,992",8.5,5.7 km from centre,Yes,No,No
Huazhu Hotel - 华住酒店,"VND 11,186,850",7.5,1.1 km from centre,Yes,Yes,Yes
Aquari Hotel,"VND 13,770,000",8.4,1 km from centre,Yes,No,Yes
Liberty Central Saigon Riverside Hotel,"VND 21,036,015",8.6,0.9 km from centre,Yes,Yes,No
Chez Mimosa Petite - Free Laundry,"VND 12,568,500",9.1,0.6 km from centre,Yes,No,Yes
A&A Toronto Hotel,"VND 7,253,280",7.4,250 m from centre,Yes,No,Yes
WA Garden Apartment & Hotel,"VND 5,904,000",8.6,1.1 km from centre,Yes,Yes,No
Atlas Hotel & Apartments,"VND 4,388,400",8.2,4.8 km from centre,Yes,No,No
Gemini Saigon HOTEL & APARTMENT,"VND 6,501,863",6.8,0.6 km from centre,Yes,No,No
Saigon Cozy Hotel,"VND 5,832,000",8.4,0.8 km from centre,Yes,No,Yes
Lyly's House - Homestay,"VND 4,762,800",8.7,7.1 km from centre,Yes,Yes,No
Cubicity Metro House,"VND 8,100,000",8.4,350 m from centre,Yes,No,No
Liberty Hotel Saigon Greenview,"VND 8,904,464",8.0,0.6 km from centre,Yes,Yes,Yes
Zeus Living - Cozy Apartment in Thao Dien,"VND 5,310,000",7.9,5 km from centre,Yes,No,No
Amanaki Saigon Boutique Hotel,"VND 20,770,650",9.1,0.6 km from centre,Yes,No,Yes
Asian Ruby Center Point Hotel & Spa,"VND 7,276,500",7.1,0.8 km from centre,Yes,No,Yes
Thanhha Guesthouse At Bui Vien Walking Street,"VND 5,103,000",8.3,0.7 km from centre,Yes,No,Yes
Rosa Hotel & Spa,"VND 10,260,000",7.3,350 m from centre,Yes,No,Yes
Dong Khanh Hotel,"VND 7,490,880",7.6,4.7 km from centre,Yes,Yes,Yes
Hotel Majestic Saigon,"VND 28,804,835",8.8,0.9 km from centre,No,Yes,Yes
A In Hotel Del Luna,"VND 5,235,821",8.0,0.8 km from centre,Yes,No,No
Somerset Ho Chi Minh City,"VND 25,259,850",9.0,2 km from centre,No,Yes,No
Harmony Saigon Hotel & Spa,"VND 15,397,200",8.4,0.9 km from centre,Yes,Yes,Yes
M Hotel Saigon,"VND 38,139,840",8.5,450 m from centre,Yes,Yes,Yes
Rex Hotel,"VND 42,642,309",8.1,0.6 km from centre,Yes,Yes,Yes
ÊMM Hotel Saigon,"VND 16,282,340",8.8,1.7 km from centre,Yes,Yes,Yes
Collection O Luxury Hotel and Suites Cao Thang Near Children Hospital 1,"VND 7,131,011",7.5,1.7 km from centre,Yes,No,No
Felix Hotel,"VND 5,614,576",7.7,0.7 km from centre,No,Yes,No
Sky Gem Hotel Sora,"VND 18,637,201",8.2,1.1 km from centre,Yes,Yes,Yes
The Reverie Saigon,"VND 59,864,316",9.2,0.7 km from centre,Yes,Yes,No
Secret Garden Hotel Ben-Thanh,"VND 10,351,090",8.6,450 m from centre,Yes,No,No
Sai Gon River Hotel,"VND 4,050,000",7.8,4.6 km from centre,Yes,Yes,No
Equatorial Ho Chi Minh City,"VND 27,781,529",8.2,2.3 km from centre,Yes,No,No
Caravelle Saigon,"VND 34,521,003",8.9,0.8 km from centre,No,Yes,No
Sotetsu Grand Fresa Saigon 相鉄グランドフレッサ サイゴン,"VND 29,380,000",9.3,1.4 km from centre,Yes,No,No
Venus Hotel,"VND 3,743,000",7.5,8.9 km from centre,Yes,No,No
Muong Thanh Grand Saigon Centre Hotel,"VND 19,296,000",8.4,1.5 km from centre,Yes,Yes,Yes
The Lovenote Home,"VND 5,523,300",8.3,2.3 km from centre,No,Yes,No
The Landmark Pavilion - Vinhomes Central Park,"VND 13,531,500",8.9,3.5 km from centre,Yes,No,No
The Concept Hotel HCMC- District 1,"VND 22,410,000",8.7,0.8 km from centre,Yes,No,No
Acnos Hotel,"VND 13,365,000",8.3,0.5 km from centre,Yes,No,Yes
Townhouse District 10 Near Children Hospital 1 Formerly Cuong Thanh 3 Hotel,"VND 7,844,121",7.3,2.5 km from centre,Yes,No,No
Mia Hotel,"VND 8,910,000",9.1,250 m from centre,Yes,Yes,No
Hotel Des Arts Saigon Mgallery Collection,"VND 29,174,253",9.1,1.2 km from centre,Yes,Yes,No
Oakwood Residence Saigon,"VND 27,359,995",8.9,4.6 km from centre,No,Yes,No
Oakwood Hotel & Apartments Saigon,"VND 13,778,100",8.6,4.2 km from centre,No,Yes,No
The Spring Hotel,"VND 10,205,292",8.4,1 km from centre,Yes,No,No
Huong Sen Annex Hotel,"VND 11,359,278",8.7,0.9 km from centre,No,Yes,Yes
Northern Charm Hotel,"VND 32,092,305",8.2,1.3 km from centre,Yes,Yes,Yes
Babylon Garden Serviced Apartment,"VND 6,210,000",9.4,2.1 km from centre,Yes,No,No
Landmark 81 Skyscrape Luxury Romantic,"VND 11,583,000",8.2,3.5 km from centre,Yes,No,No
Việt Life Hotel & Apartment - Free conference & cinema room,"VND 5,733,000",9.2,4.4 km from centre,Yes,No,No
DHTS Business Hotel & Apartment,"VND 13,839,705",9.2,3.3 km from centre,No,Yes,No
Nexus House Nguyễn Bỉnh Khiêm,"VND 9,568,000",8.7,2.2 km from centre,Yes,Yes,No
Zazz Urban Ho Chi Minh,"VND 14,082,352",8.6,3 km from centre,Yes,Yes,No
Hotel Nikko Saigon,"VND 37,278,677",9.1,1.9 km from centre,No,Yes,No
THE METROPOLE Apartment Complex OPERA-GALLERIA-CREST,"VND 18,160,000",9.7,1.9 km from centre,Yes,No,No
Elios Hotel,"VND 10,195,200",8.1,0.7 km from centre,Yes,Yes,Yes
Asian Ruby Boutique Hotel Bùi Thị Xuân,"VND 4,770,000",8.0,0.9 km from centre,Yes,No,No
Green Airport Hotel,"VND 5,400,000",8.1,5.6 km from centre,Yes,No,No
Silverland Min Hotel,"VND 13,803,072",8.4,0.9 km from centre,Yes,Yes,No
GALANG HOTEL,"VND 7,310,250",7.7,2.4 km from centre,Yes,No,No
Winsuites Saigon Hotel,"VND 19,980,000",8.3,150 m from centre,Yes,Yes,Yes
Salute Saigon Hotel and Spa,"VND 13,010,270",9.3,400 m from centre,Yes,No,No
Garden View Court Suites Ho Chi Minh City,"VND 19,755,915",8.9,450 m from centre,No,Yes,Yes
Royal Hotel Saigon,"VND 18,497,375",8.4,0.6 km from centre,Yes,No,Yes
Sunrisehome,"VND 5,391,000",8.9,2.4 km from centre,Yes,No,No
Lotus Laverne Hotel,"VND 4,637,197",7.6,3.8 km from centre,Yes,No,No
The Hammock Hotel Fine Arts Museum,"VND 16,070,400",8.8,300 m from centre,No,Yes,Yes
MEANDER Saigon,"VND 15,295,000",9.2,1.4 km from centre,Yes,No,No
Belvilla Comfort Stays Near Bui Vien Walking Street,"VND 8,279,640",9.5,1.1 km from centre,Yes,Yes,No
Mia Saigon – Luxury Boutique Hotel,"VND 57,043,800",9.4,7.2 km from centre,No,Yes,Yes
Novotel Living Saigon South,"VND 19,770,000",8.1,5.4 km from centre,No,Yes,No
Vien Dong Hotel - Near Bui Vien Walking Street,"VND 9,698,002",8.3,0.8 km from centre,Yes,Yes,Yes
Saigon Hotel,"VND 16,552,350",8.3,0.8 km from centre,Yes,Yes,Yes
Vilion Boutique Hotel Ben Thanh,"VND 8,100,000",7.5,300 m from centre,Yes,No,No
Bình Minh Hotel HCM,"VND 3,583,940",7.1,5.3 km from centre,Yes,No,No
Centana Ben Thanh Hotel,"VND 5,040,000",6.3,500 m from centre,Yes,No,No
The Royal LandPark - Phu My Hung,"VND 8,368,920",7.6,4.6 km from centre,No,Yes,No
Đô Thành Residence,"VND 17,204,400",7.9,1.8 km from centre,Yes,Yes,Yes
Rang Dong Hotel,"VND 8,371,710",7.8,0.7 km from centre,Yes,No,No
Liberty Hotel Saigon Parkview,"VND 8,555,508",7.8,0.6 km from centre,Yes,Yes,No
HOSTIE SAIGON [WANDERLUST Home],"VND 5,040,000",8.5,1.6 km from centre,Yes,No,No
PHÚ GIA BÙI VIỆN HOTEl,"VND 4,600,000",7.2,0.5 km from centre,Yes,No,No
Sam Royal Apartment,"VND 12,240,000",7.4,400 m from centre,Yes,No,Yes
Somerset Vista Ho Chi Minh City,"VND 22,963,500",8.9,6.9 km from centre,No,Yes,No
Rustique Maison,"VND 7,361,442",8.8,2.3 km from centre,No,Yes,No
City Backpackers Hostel,"VND 6,750,000",8.7,0.6 km from centre,Yes,Yes,No
Sen Sai Gon Hotel - Ben Thanh Market,"VND 4,918,054",5.1,0.5 km from centre,Yes,No,No
Collection O Sunshine Garden Hotel - Near SECC,"VND 15,356,587",7.0,6 km from centre,No,Yes,No
Chao Nest - Saigon Vinhomes Central Apartment,"VND 10,912,500",9.8,3.5 km from centre,Yes,No,No
Saigon Hub Hostel,"VND 3,997,125",6.8,0.8 km from centre,Yes,Yes,No
Mai House Saigon Hotel,"VND 35,884,143",9.3,1.4 km from centre,No,Yes,No
A25 Hotel - 29 Lê Thị Hồng Gấm,"VND 10,867,340",7.9,350 m from centre,Yes,No,Yes
A In Hotel Atistar,"VND 6,516,000",9.0,6.7 km from centre,Yes,No,No
Solana Garden Hotel,"VND 5,493,660",8.8,7.3 km from centre,Yes,No,No
Thien Ha Hotel & Apartment,"VND 5,001,750",7.7,5.2 km from centre,No,Yes,No
Paradise Saigon Boutique Hotel & Spa,"VND 17,600,000",8.2,350 m from centre,Yes,Yes,Yes
Yoyo Airport Saigon Hotel,"VND 3,915,000",7.6,5.2 km from centre,Yes,No,No
Nouveau Happy Inn - Bến Thành,"VND 5,791,800",7.7,0.8 km from centre,Yes,No,No
Teddy Apartment at Sky Center Luxury,"VND 6,750,000",8.0,5.2 km from centre,No,Yes,No
Suzu Saigon - A Boutique Hotel,"VND 20,520,000",9.0,1.4 km from centre,Yes,Yes,No
Sumi Hotel Gò Vấp,"VND 3,745,000",8.3,9 km from centre,Yes,No,No
"Saigon Cozy Home "" At BuiVien Walking Street ""","VND 6,583,500",8.6,0.7 km from centre,Yes,No,Yes
Lotus Saigon Hotel,"VND 12,397,500",7.5,1.7 km from centre,No,Yes,Yes
